Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,Date,Time,duration,weather,peak
29,PUBLIC BANK  JLN SS 2/75,"3.1207195747442, 101.621832946834",6/2/2019 13:29,"3.1202667, 101.62249",89 meter,6/2/2019,13:29:40,40,1,0
30,POH KONG  JLN SS 2/55,"3.1172868, 101.6209125",6/2/2019 13:31,"3.118215, 101.61959",179 meter,6/2/2019,13:31:15,95,1,0
32,PETRON SEAPARK  JLN SS2/24,"3.11113995129121, 101.618514744918",6/2/2019 13:34,"3.11197, 101.6191583",116 meter,6/2/2019,13:34:20,185,1,0
33,SEK MEN KEB TAMAN SEA  (OPP) JLN SS2/3,"3.1106107, 101.6149735",6/2/2019 13:36,"3.1103067, 101.6160167",121 meter,6/2/2019,13:36:15,115,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 13:36,"3.1108167, 101.613615",97 meter,6/2/2019,13:36:40,25,1,0
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",6/2/2019 12:59,"3.1111536, 101.6121908",0,6/2/2019,12:59:34,0,1,0
2,RUMAH NO. 57  JLN SS4A/1,"3.10767533424092, 101.611201364536",6/2/2019 13:00,"3.10897, 101.6115383",148 meter,6/2/2019,13:00:19,45,1,0
3,PETRONAS (OPP )  JLN SS4B/10,"3.10790754483897, 101.60644396198",6/2/2019 13:01,"3.1074267, 101.6077883",159 meter,6/2/2019,13:01:39,80,1,0
4,RUMAH NO. 28/TOP SPEED  JLN SS4B/10,"3.10946518685449, 101.603688366379",6/2/2019 13:02,"3.10934, 101.60516",164 meter,6/2/2019,13:02:24,45,1,0
5,KUARTERS  PDRM  JLN SS4B/10,"3.10945518937511, 101.599495808303",6/2/2019 13:02,"3.10944, 101.6003633",96 meter,6/2/2019,13:02:59,35,1,0
6,SEK MEN KELANA JAYA  LDP,"3.10875312257981, 101.596062492728",6/2/2019 13:03,"3.1095217, 101.5968383",121 meter,6/2/2019,13:03:24,25,1,0
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",6/2/2019 13:05,"3.1014817, 101.5991033",103 meter,6/2/2019,13:05:50,146,1,0
8,PPURI PKNS/JEJARI RESTORAN  JLN SS6/3,"3.10229623315117, 101.600390567679",6/2/2019 13:06,"3.1027117, 101.6004567",47 meter,6/2/2019,13:06:20,30,1,0
